quarter,healthboard,percentage_occupancy_by_board
2020 Q2,Greater Glasgow and Clyde,66.73752171129337
2020 Q3,Greater Glasgow and Clyde,79.9316765335291
2020 Q4,Greater Glasgow and Clyde,81.65410810848903
2021 Q1,Greater Glasgow and Clyde,82.34665957036417
2021 Q2,Greater Glasgow and Clyde,83.72899292760218
2021 Q3,Greater Glasgow and Clyde,85.85852879395617
2021 Q4,Greater Glasgow and Clyde,86.28570600775988
2016 Q4,Highland,82.50484614870435
2017 Q1,Highland,83.86785731833145
2017 Q2,Highland,82.59699323529111
2017 Q3,Highland,81.67467175081171
2017 Q4,Highland,82.66227646107721
2018 Q1,Highland,84.99550313737029
2018 Q2,Highland,82.54170250061064
2018 Q3,Highland,81.9793536347097
2018 Q4,Highland,82.68831166124431
2019 Q1,Highland,86.42136739778672
2019 Q2,Highland,83.97835392676997
2019 Q3,Highland,83.81594241118958
2019 Q4,Highland,83.97538250096004
2020 Q1,Highland,80.6468262908875
2020 Q2,Highland,61.52808356933765
2020 Q3,Highland,77.1617350677904
2020 Q4,Highland,81.44346094268643
2021 Q1,Highland,82.13757595311073
2021 Q2,Highland,84.00801836765615
2021 Q3,Highland,86.43491314604333
2021 Q4,Highland,85.34489612183901
2016 Q4,Lanarkshire,83.28634676736768
2017 Q1,Lanarkshire,86.0227549499539
2017 Q2,Lanarkshire,84.1094266211774
2017 Q3,Lanarkshire,81.26147310050229
2017 Q4,Lanarkshire,84.15586263464935
2018 Q1,Lanarkshire,84.62624048013491
2018 Q2,Lanarkshire,81.63868598496069
2018 Q3,Lanarkshire,81.84927459954426
2018 Q4,Lanarkshire,82.16937878842813
2019 Q1,Lanarkshire,84.15795912468617
2019 Q2,Lanarkshire,84.01351133441402
2019 Q3,Lanarkshire,84.56090258795771
2019 Q4,Lanarkshire,85.21262577413107
2020 Q1,Lanarkshire,78.96314382675645
2020 Q2,Lanarkshire,54.29941972417806
2020 Q3,Lanarkshire,71.37712254030528
2020 Q4,Lanarkshire,73.54005155080196
2021 Q1,Lanarkshire,76.63358599671798
2021 Q2,Lanarkshire,77.86218346833009
2021 Q3,Lanarkshire,81.49905474722274
2021 Q4,Lanarkshire,83.84758773588553
2016 Q4,Lothian,88.04570958190257
2017 Q1,Lothian,88.95387163743214
2017 Q2,Lothian,87.76808506943439
2017 Q3,Lothian,86.94930923884678
2017 Q4,Lothian,87.8229063784611
2018 Q1,Lothian,89.57377163860218
2018 Q2,Lothian,88.49938549488611
2018 Q3,Lothian,86.89982289213486
2018 Q4,Lothian,86.79234708734498
2019 Q1,Lothian,88.03512023585867
2019 Q2,Lothian,84.94116305507622
2019 Q3,Lothian,84.40347032919139
2019 Q4,Lothian,85.4505502782203
2020 Q1,Lothian,82.60187772893181
2020 Q2,Lothian,59.625685130925866
2020 Q3,Lothian,71.76080998568948
2020 Q4,Lothian,76.4505228921832
2021 Q1,Lothian,76.95823395388491
2021 Q2,Lothian,78.5835267406803
2021 Q3,Lothian,81.19461126440513
2021 Q4,Lothian,83.01075875771909
2016 Q4,Orkney,88.0415190502828
2017 Q1,Orkney,86.90527882885677
2017 Q2,Orkney,85.67214760888666
2017 Q3,Orkney,76.31912480821826
2017 Q4,Orkney,89.65558766859345
2018 Q1,Orkney,88.28405973788479
2018 Q2,Orkney,85.8433734939759
2018 Q3,Orkney,88.6893528946247
2018 Q4,Orkney,89.65011906942664
2019 Q1,Orkney,90.5910222924133
2019 Q2,Orkney,85.07722969606377
2019 Q3,Orkney,74.02757452052684
2019 Q4,Orkney,76.17125463208046
2020 Q1,Orkney,77.72896039603961
2020 Q2,Orkney,45.18154518154518
2020 Q3,Orkney,58.28100256648283
2020 Q4,Orkney,70.5069454389231
2021 Q1,Orkney,70.98625156232247
2021 Q2,Orkney,68.82442087031825
2021 Q3,Orkney,65.44572920552034
2021 Q4,Orkney,77.86587580196102
2016 Q4,Shetland,47.97734627831715
2017 Q1,Shetland,48.842018196856905
2017 Q2,Shetland,44.68587866646119
2017 Q3,Shetland,56.765995872033024
2017 Q4,Shetland,56.70621614650503
2018 Q1,Shetland,52.709685967934284
2018 Q2,Shetland,53.04638364779875
2018 Q3,Shetland,53.94321766561514
2018 Q4,Shetland,54.415089464504874
2019 Q1,Shetland,59.86105203459521
2019 Q2,Shetland,56.48579489534807
2019 Q3,Shetland,58.745098039215684
2019 Q4,Shetland,59.45259042033235
2020 Q1,Shetland,53.062519834973024
2020 Q2,Shetland,26.612767390938185
2020 Q3,Shetland,35.283268975851534
2020 Q4,Shetland,35.502692998204665
2021 Q1,Shetland,35.646687697160885
2021 Q2,Shetland,34.0403937886938
2021 Q3,Shetland,42.393581685318615
2021 Q4,Shetland,40.63571684496085
2016 Q4,Tayside,64.61256712945776
2017 Q1,Tayside,65.51400063424458
2017 Q2,Tayside,66.24479361452511
2017 Q3,Tayside,72.65893434542488
2017 Q4,Tayside,75.26302166294998
