quarter,healthboard,percentage_occupancy_by_board,percent_wards_over_ninety
2018 Q1,Dumfries and Galloway,82.27625132187396,56.666666666666664
2018 Q2,Dumfries and Galloway,79.47676444398559,56.36363636363636
2018 Q3,Dumfries and Galloway,79.29958815934557,58.333333333333336
2018 Q4,Dumfries and Galloway,79.66985914073962,57.6271186440678
2019 Q1,Dumfries and Galloway,82.68137027466331,57.89473684210527
2019 Q2,Dumfries and Galloway,81.9916204612103,61.29032258064516
2019 Q3,Dumfries and Galloway,81.38575342300246,60.65573770491803
2021 Q2,Dumfries and Galloway,77.46376199129442,53.06122448979592
2021 Q4,Dumfries and Galloway,79.89129574584604,57.407407407407405
2016 Q4,Dumfries and Galloway,72.75853025180778,34.54545454545455
2017 Q2,Dumfries and Galloway,75.7394976687519,39.6551724137931
2017 Q3,Dumfries and Galloway,73.31477550971115,40
2017 Q4,Dumfries and Galloway,72.635874028545,34.48275862068966
2019 Q4,Dumfries and Galloway,81.79197476211053,58.333333333333336
2020 Q1,Dumfries and Galloway,80.49950380416804,56.666666666666664
2020 Q2,Dumfries and Galloway,53.63959165557035,33.33333333333333
2020 Q3,Dumfries and Galloway,72.90663092196205,54.09836065573771
2020 Q4,Dumfries and Galloway,72.7416742941632,56.666666666666664
2021 Q1,Dumfries and Galloway,73.93287682813424,49.122807017543856
2017 Q1,Dumfries and Galloway,74.39431583075081,36.53846153846153
2016 Q4,Fife,83.73172147856435,47.94520547945205
2017 Q1,Fife,83.82698695452083,49.35064935064935
2017 Q2,Fife,80.94918566573797,37.03703703703704
2017 Q4,Fife,82.5729449340794,40.78947368421053
2018 Q1,Fife,85.50703439806993,45.33333333333333
2018 Q2,Fife,80.57031773300994,37.878787878787875
2018 Q3,Fife,81.62079700427438,39.130434782608695
2018 Q4,Fife,83.44809543070295,42.25352112676056
2019 Q1,Fife,84.29112426035503,51.94805194805194
2019 Q2,Fife,79.3091311264867,41.66666666666667
2019 Q3,Fife,80.1753744077578,44.5945945945946
2019 Q4,Fife,83.05363545057945,47.43589743589743
2020 Q1,Fife,79.07781403369977,37.17948717948718
2020 Q4,Fife,68.31229488080413,30.434782608695656
2021 Q2,Fife,70.35268884687976,31.57894736842105
2021 Q4,Fife,73.36399387765564,34.21052631578947
2021 Q3,Fife,73.0594772438678,32.89473684210527
2021 Q1,Fife,70.86252158734715,27.027027027027028
2017 Q3,Fife,79.72772986092113,35.61643835616438
2020 Q2,Fife,53.3008620781909,12.903225806451612
2020 Q3,Fife,64.4547847581623,18.84057971014493
2016 Q4,Forth Valley,89.94844644158097,60.97560975609756
2017 Q1,Forth Valley,89.92237662772021,47.82608695652174
2017 Q2,Forth Valley,89.16500758221363,60.86956521739131
2017 Q3,Forth Valley,87.17885820794285,46.93877551020408
2017 Q4,Forth Valley,91.1530736743313,62.5
2018 Q1,Forth Valley,89.44292230774987,60.86956521739131
2018 Q2,Forth Valley,79.36330819377056,21.73913043478261
2018 Q3,Forth Valley,87.40956226484353,53.333333333333336
2018 Q4,Forth Valley,88.823282213321,63.04347826086957
2019 Q1,Forth Valley,87.6172369398276,50
2019 Q2,Forth Valley,71.42957155947745,26.53061224489796
2019 Q3,Forth Valley,63.14700662171122,19.565217391304348
2019 Q4,Forth Valley,66.05716917749115,29.166666666666668
2020 Q1,Forth Valley,65.27949326094748,34
2020 Q2,Forth Valley,50.74161524912578,13.043478260869565
2020 Q3,Forth Valley,68.586609989373,17.02127659574468
2020 Q4,Forth Valley,73.37439686860526,21.27659574468085
2021 Q1,Forth Valley,73.27613389032909,26.53061224489796
2021 Q2,Forth Valley,72.76859243177555,20.454545454545457
2021 Q3,Forth Valley,74.14142731283425,30.434782608695656
2021 Q4,Forth Valley,76.65789552893763,29.411764705882355
2016 Q4,Grampian,83.93890696534766,36.45833333333333
2017 Q1,Grampian,85.18303064699205,42.57425742574257
2017 Q2,Grampian,81.12420225822288,27.55102040816326
2017 Q3,Grampian,80.85896429189347,28.57142857142857
2017 Q4,Grampian,81.19810351831038,24.242424242424242
2018 Q1,Grampian,84.85433644710614,42
2018 Q2,Grampian,80.71059247033662,31.313131313131315
2018 Q3,Grampian,78.79170169467622,25
2018 Q4,Grampian,78.89773806876757,27.722772277227726
2019 Q1,Grampian,81.78198944561085,32.69230769230769
2019 Q2,Grampian,82.13396276791633,37.86407766990291
2019 Q3,Grampian,80.73716670833868,30.303030303030305
2021 Q2,Grampian,83.9320304964258,31.683168316831683
2021 Q3,Grampian,85.75500998775695,41
2019 Q4,Grampian,80.69320605883887,31
2020 Q1,Grampian,78.2793728989617,18.181818181818183
2020 Q2,Grampian,63.02679424869392,13.26530612244898
2020 Q4,Grampian,78.18699237382123,24.742268041237114
2021 Q1,Grampian,81.04886478671419,33.663366336633665
2021 Q4,Grampian,86.32325798916605,39.39393939393939
2020 Q3,Grampian,75.17243549732233,22.916666666666664
2016 Q4,Greater Glasgow and Clyde,84.6661951634148,35.978835978835974
2017 Q1,Greater Glasgow and Clyde,85.5950198811172,44.1025641025641
2017 Q2,Greater Glasgow and Clyde,84.9805217503489,39.175257731958766
2017 Q3,Greater Glasgow and Clyde,83.11404201113318,32.98969072164948
2017 Q4,Greater Glasgow and Clyde,85.56573254086007,37.244897959183675
2018 Q1,Greater Glasgow and Clyde,87.26290683040946,45.12820512820513
2018 Q2,Greater Glasgow and Clyde,84.82744995593492,38.775510204081634
2018 Q3,Greater Glasgow and Clyde,84.64751273374205,38.11881188118812
2018 Q4,Greater Glasgow and Clyde,85.18017386823654,41.06280193236715
2019 Q1,Greater Glasgow and Clyde,87.53137092468623,43.93939393939394
2019 Q2,Greater Glasgow and Clyde,86.86535906271371,43.5
2019 Q3,Greater Glasgow and Clyde,86.01858300606253,43.203883495145625
2019 Q4,Greater Glasgow and Clyde,87.43928470156325,47.82608695652174
2020 Q1,Greater Glasgow and Clyde,84.29305082895479,39.81042654028436
2020 Q2,Greater Glasgow and Clyde,66.73752171129337,21.62162162162162
2020 Q3,Greater Glasgow and Clyde,79.9316765335291,34.63414634146341
2020 Q4,Greater Glasgow and Clyde,81.65410810848903,34.01015228426396
2021 Q1,Greater Glasgow and Clyde,82.34665957036417,31.794871794871792
2021 Q2,Greater Glasgow and Clyde,83.72899292760218,37.244897959183675
2021 Q3,Greater Glasgow and Clyde,85.85852879395617,41.62436548223351
2021 Q4,Greater Glasgow and Clyde,86.28570600775988,44.827586206896555
2017 Q2,Highland,82.59699323529111,45.1219512195122
2018 Q1,Highland,84.99550313737029,46.15384615384615
2018 Q2,Highland,82.54170250061064,39.75903614457831
2018 Q3,Highland,81.9793536347097,40
2020 Q3,Highland,77.1617350677904,39.743589743589745
